#Drive Frequency/2pi [GHz]    Time [ns]                     P(0)                          P(16)                         P(32)                         P(64)                         
44.99                         193.001                       0.985724                      0.0140824                     0.000104905                   0                             
44.99                         194.001                       0.986233                      0.0136078                     9.54168e-05                   0                             
44.99                         195.001                       0.986565                      0.0131402                     8.72779e-05                   0                             
44.99                         196.001                       0.986896                      0.0126894                     8.32409e-05                   0                             
44.99                         197.001                       0.987379                      0.0122722                     8.02385e-05                   0                             
44.99                         198.001                       0.98793                       0.0118887                     7.4478e-05                    0                             
44.99                         199.001                       0.988349                      0.0115231                     6.73336e-05                   0                             
44.99                         200.001                       0.988578                      0.0111679                     6.28575e-05                   0                             
44.99                         201.001                       0.988777                      0.0108364                     6.12914e-05                   0                             
44.99                         202.001                       0.989115                      0.0105433                     5.89065e-05                   0                             
44.99                         203.001                       0.989541                      0.0102837                     5.40456e-05                   0                             
44.99                         204.001                       0.989853                      0.0100408                     4.95784e-05                   0                             
44.99                         205.001                       0.989969                      0.00981076                    4.81107e-05                   0                             
44.99                         206.001                       0.990028                      0.0096079                     4.78694e-05                   0                             
44.99                         207.001                       0.990219                      0.00944254                    4.57054e-05                   0                             
44.99                         208.001                       0.990516                      0.00930569                    4.21305e-05                   0                             
44.99                         209.001                       0.990723                      0.0091823                     4.03266e-05                   0                             
44.99                         210.001                       0.990734                      0.00907243                    4.09424e-05                   0                             
44.99                         211.001                       0.990668                      0.00898886                    4.11277e-05                   0                             
44.99                         212.001                       0.990725                      0.00893669                    3.91877e-05                   0                             
44.99                         213.001                       0.990909                      0.00890515                    3.72544e-05                   0                             
44.99                         214.001                       0.991028                      0.00888281                    3.77539e-05                   0                             
44.99                         215.001                       0.990955                      0.00887215                    3.94713e-05                   0                             
44.99                         216.001                       0.990793                      0.00888261                    3.95394e-05                   0                             
44.99                         217.001                       0.990744                      0.00891476                    3.80537e-05                   0                             
44.99                         218.001                       0.990842                      0.00895867                    3.78808e-05                   0                             
44.99                         219.001                       0.990902                      0.00900715                    4.0007e-05                    0                             
44.99                         220.001                       0.990781                      0.00906312                    4.19224e-05                   0                             
44.99                         221.001                       0.990559                      0.00913157                    4.16234e-05                   0                             
44.99                         222.001                       0.990444                      0.00921046                    4.0804e-05                    0                             
44.99                         223.001                       0.99049                       0.00929294                    4.21442e-05                   0                             
44.99                         224.001                       0.990526                      0.00937548                    4.50014e-05                   0                             
44.99                         225.001                       0.990395                      0.00945946                    4.63747e-05                   0                             
44.99                         226.001                       0.990157                      0.00954554                    4.56294e-05                   0                             
44.99                         227.001                       0.990016                      0.00963134                    4.54948e-05                   0                             
44.99                         228.001                       0.990047                      0.00971431                    4.77573e-05                   0                             
44.99                         229.001                       0.990096                      0.00979337                    5.04014e-05                   0                             
44.99                         230.001                       0.989995                      0.00986699                    5.07214e-05                   0                             
44.99                         231.001                       0.989783                      0.00993252                    4.95283e-05                   0                             
44.99                         232.001                       0.989653                      0.00998921                    4.98723e-05                   0                             
44.99                         233.001                       0.989702                      0.0100389                     5.22886e-05                   0                             
44.99                         234.001                       0.989795                      0.0100816                     5.3936e-05                    0                             
44.99                         235.001                       0.989756                      0.0101124                     5.29747e-05                   0                             
44.99                         236.001                       0.989601                      0.010127                      5.13763e-05                   0                             
44.99                         237.001                       0.989512                      0.0101273                     5.18576e-05                   0                             
44.99                         238.001                       0.989604                      0.0101188                     5.3716e-05                    0                             
44.99                         239.001                       0.989762                      0.0101013                     5.3924e-05                    0                             
44.99                         240.001                       0.989808                      0.0100673                     5.1761e-05                    0                             
44.99                         241.001                       0.989732                      0.0100121                     4.98577e-05                   0                             
44.99                         242.001                       0.989703                      0.00994074                    5.01561e-05                   0                             
44.99                         243.001                       0.98985                       0.00986085                    5.1016e-05                    0                             
44.99                         244.001                       0.990084                      0.00977128                    4.97677e-05                   0                             
44.99                         245.001                       0.990223                      0.00966325                    4.67483e-05                   0                             
44.99                         246.001                       0.990233                      0.00953305                    4.47064e-05                   0                             
44.99                         247.001                       0.990266                      0.00938781                    4.46458e-05                   0                             
44.99                         248.001                       0.990468                      0.0092359                     4.44315e-05                   0                             
